"langue_sujet","code_langue_sujet","sujet"
"http://lexvo.org/id/iso639-3/ane","ane","http://data.bnf.fr/ark:/12148/cb11964747n"
"http://lexvo.org/id/iso639-3/ane","ane","http://data.bnf.fr/ark:/12148/cb119654937"
"http://lexvo.org/id/iso639-3/ane","ane","http://data.bnf.fr/ark:/12148/cb119656766"
"http://lexvo.org/id/iso639-3/ane","ane","http://data.bnf.fr/ark:/12148/cb11966857q"
"http://lexvo.org/id/iso639-3/ane","ane","http://data.bnf.fr/ark:/12148/cb119677899"
"http://lexvo.org/id/iso639-3/ane","ane","http://data.bnf.fr/ark:/12148/cb11969392k"
"http://lexvo.org/id/iso639-3/ane","ane","http://data.bnf.fr/ark:/12148/cb11971232q"
"http://lexvo.org/id/iso639-3/ane","ane","http://data.bnf.fr/ark:/12148/cb11971502m"
"http://lexvo.org/id/iso639-3/ane","ane","http://data.bnf.fr/ark:/12148/cb119763597"
"http://lexvo.org/id/iso639-3/ane","ane","http://data.bnf.fr/ark:/12148/cb119767449"
"http://lexvo.org/id/iso639-3/ane","ane","http://data.bnf.fr/ark:/12148/cb119781533"
"http://lexvo.org/id/iso639-3/ane","ane","http://data.bnf.fr/ark:/12148/cb11978921p"
"http://lexvo.org/id/iso639-3/ane","ane","http://data.bnf.fr/ark:/12148/cb119793082"
"http://lexvo.org/id/iso639-3/ane","ane","http://data.bnf.fr/ark:/12148/cb120064887"
"http://lexvo.org/id/iso639-3/ane","ane","http://data.bnf.fr/ark:/12148/cb12050043r"
"http://lexvo.org/id/iso639-3/ane","ane","http://data.bnf.fr/ark:/12148/cb120502737"
"http://lexvo.org/id/iso639-3/ane","ane","http://data.bnf.fr/ark:/12148/cb12062539k"
"http://lexvo.org/id/iso639-3/ane","ane","http://data.bnf.fr/ark:/12148/cb12069493s"
"http://lexvo.org/id/iso639-3/ane","ane","http://data.bnf.fr/ark:/12148/cb12099148r"
"http://lexvo.org/id/iso639-3/ane","ane","http://data.bnf.fr/ark:/12148/cb12123592m"
"http://lexvo.org/id/iso639-3/ane","ane","http://data.bnf.fr/ark:/12148/cb122146567"
"http://lexvo.org/id/iso639-3/ane","ane","http://data.bnf.fr/ark:/12148/cb12321516c"
"http://lexvo.org/id/iso639-3/ane","ane","http://data.bnf.fr/ark:/12148/cb124795066"
"http://lexvo.org/id/iso639-3/ane","ane","http://data.bnf.fr/ark:/12148/cb13162676c"
"http://lexvo.org/id/iso639-3/ane","ane","http://data.bnf.fr/ark:/12148/cb13162695n"
"http://lexvo.org/id/iso639-3/ane","ane","http://data.bnf.fr/ark:/12148/cb131742539"
"http://lexvo.org/id/iso639-3/ane","ane","http://data.bnf.fr/ark:/12148/cb13192835z"
"http://lexvo.org/id/iso639-3/ane","ane","http://data.bnf.fr/ark:/12148/cb13193091g"
"http://lexvo.org/id/iso639-3/ane","ane","http://data.bnf.fr/ark:/12148/cb13318322c"
"http://lexvo.org/id/iso639-3/ane","ane","http://data.bnf.fr/ark:/12148/cb133183660"
"http://lexvo.org/id/iso639-3/ane","ane","http://data.bnf.fr/ark:/12148/cb13318396x"
"http://lexvo.org/id/iso639-3/ane","ane","http://data.bnf.fr/ark:/12148/cb13318415c"
"http://lexvo.org/id/iso639-3/ane","ane","http://data.bnf.fr/ark:/12148/cb13318436b"
"http://lexvo.org/id/iso639-3/ane","ane","http://data.bnf.fr/ark:/12148/cb13318455m"
"http://lexvo.org/id/iso639-3/ane","ane","http://data.bnf.fr/ark:/12148/cb13318491g"
"http://lexvo.org/id/iso639-3/ane","ane","http://data.bnf.fr/ark:/12148/cb13318549z"
"http://lexvo.org/id/iso639-3/ane","ane","http://data.bnf.fr/ark:/12148/cb13318591r"
"http://lexvo.org/id/iso639-3/ane","ane","http://data.bnf.fr/ark:/12148/cb133188384"
"http://lexvo.org/id/iso639-3/ane","ane","http://data.bnf.fr/ark:/12148/cb133188907"
"http://lexvo.org/id/iso639-3/ane","ane","http://data.bnf.fr/ark:/12148/cb133190265"
"http://lexvo.org/id/iso639-3/ane","ane","http://data.bnf.fr/ark:/12148/cb13319048g"
"http://lexvo.org/id/iso639-3/ane","ane","http://data.bnf.fr/ark:/12148/cb133190710"
"http://lexvo.org/id/iso639-3/ane","ane","http://data.bnf.fr/ark:/12148/cb14408233v"
"http://lexvo.org/id/iso639-3/ane","ane","http://data.bnf.fr/ark:/12148/cb16512067t"
"http://lexvo.org/id/iso639-3/ane","ane","http://data.bnf.fr/ark:/12148/cb16604691s"
"http://lexvo.org/id/iso639-3/ane","ane","http://data.bnf.fr/ark:/12148/cb16743077b"
"http://lexvo.org/id/iso639-3/ane","ane","http://lexvo.org/id/iso639-3/aji"
"http://lexvo.org/id/iso639-3/ane","ane","http://lexvo.org/id/iso639-3/ane"
"http://lexvo.org/id/iso639-3/ane","ane","http://lexvo.org/id/iso639-3/dhv"
"http://lexvo.org/id/iso639-3/ane","ane","http://www.language-archives.org/vocabulary/field#text_and_corpus_linguistics"
"http://lexvo.org/id/iso639-3/aoa","aoa","Angolar"
"http://lexvo.org/id/iso639-3/aoa","aoa","http://lexvo.org/id/iso639-3/aoa"
"http://lexvo.org/id/iso639-3/ara","ara","http://data.bnf.fr/ark:/12148/cb11930928b"
"http://lexvo.org/id/iso639-3/ara","ara","http://data.bnf.fr/ark:/12148/cb11939724k"
"http://lexvo.org/id/iso639-3/ara","ara","http://data.bnf.fr/ark:/12148/cb11940754j"
"http://lexvo.org/id/iso639-3/ara","ara","http://data.bnf.fr/ark:/12148/cb11945385x"
"http://lexvo.org/id/iso639-3/ara","ara","http://data.bnf.fr/ark:/12148/cb119570237"
"http://lexvo.org/id/iso639-3/ara","ara","http://data.bnf.fr/ark:/12148/cb120106756"
"http://lexvo.org/id/iso639-3/ara","ara","http://data.bnf.fr/ark:/12148/cb120505016"
"http://lexvo.org/id/iso639-3/ara","ara","http://data.bnf.fr/ark:/12148/cb124329790"
"http://lexvo.org/id/iso639-3/ara","ara","http://data.bnf.fr/ark:/12148/cb16230396n"
"http://lexvo.org/id/iso639-3/ara","ara","Arabe"
"http://lexvo.org/id/iso639-3/ara","ara","http://data.bnf.fr/ark:/12148/cb123947012"
"http://lexvo.org/id/iso639-3/ara","ara","http://data.bnf.fr/ark:/12148/cb15539599s"
"http://lexvo.org/id/iso639-3/ara","ara","http://data.bnf.fr/ark:/12148/cb16766601w"
"http://lexvo.org/id/iso639-3/ara","ara","http://data.bnf.fr/ark:/12148/cb170406238"
"http://lexvo.org/id/iso639-3/ara","ara","Arabe syrien"
"http://lexvo.org/id/iso639-3/ara","ara","http://lexvo.org/id/iso639-3/ara"
"http://lexvo.org/id/iso639-3/ara","ara","http://www.language-archives.org/vocabulary/field#sociolinguistics"
"http://lexvo.org/id/iso639-3/ary","ary","Arabe marocain"
"http://lexvo.org/id/iso639-3/ary","ary","http://lexvo.org/id/iso639-3/ary"
"http://lexvo.org/id/iso639-3/ary","ary","http://www.language-archives.org/vocabulary/field#sociolinguistics"
"http://lexvo.org/id/iso639-3/axx","axx","http://data.bnf.fr/ark:/12148/cb11931819b"
"http://lexvo.org/id/iso639-3/axx","axx","http://data.bnf.fr/ark:/12148/cb119324858"
"http://lexvo.org/id/iso639-3/axx","axx","http://data.bnf.fr/ark:/12148/cb11932889r"
"http://lexvo.org/id/iso639-3/axx","axx","http://data.bnf.fr/ark:/12148/cb11934650n"
"http://lexvo.org/id/iso639-3/axx","axx","http://data.bnf.fr/ark:/12148/cb11936161d"
"http://lexvo.org/id/iso639-3/axx","axx","http://data.bnf.fr/ark:/12148/cb11939659z"
"http://lexvo.org/id/iso639-3/axx","axx","http://data.bnf.fr/ark:/12148/cb119410943"
"http://lexvo.org/id/iso639-3/axx","axx","http://data.bnf.fr/ark:/12148/cb11944279g"
"http://lexvo.org/id/iso639-3/axx","axx","http://data.bnf.fr/ark:/12148/cb119596539"
"http://lexvo.org/id/iso639-3/axx","axx","http://data.bnf.fr/ark:/12148/cb11963568t"
"http://lexvo.org/id/iso639-3/axx","axx","http://data.bnf.fr/ark:/12148/cb11965628b"
"http://lexvo.org/id/iso639-3/axx","axx","http://data.bnf.fr/ark:/12148/cb11966857q"
"http://lexvo.org/id/iso639-3/axx","axx","http://data.bnf.fr/ark:/12148/cb11970707n"
"http://lexvo.org/id/iso639-3/axx","axx","http://data.bnf.fr/ark:/12148/cb119767449"
"http://lexvo.org/id/iso639-3/axx","axx","http://data.bnf.fr/ark:/12148/cb119793082"
"http://lexvo.org/id/iso639-3/axx","axx","http://data.bnf.fr/ark:/12148/cb120009467"
"http://lexvo.org/id/iso639-3/axx","axx","http://data.bnf.fr/ark:/12148/cb12301991t"
"http://lexvo.org/id/iso639-3/axx","axx","http://data.bnf.fr/ark:/12148/cb13318396x"
"http://lexvo.org/id/iso639-3/axx","axx","http://data.bnf.fr/ark:/12148/cb13318436b"
"http://lexvo.org/id/iso639-3/axx","axx","http://data.bnf.fr/ark:/12148/cb133188384"
"http://lexvo.org/id/iso639-3/axx","axx","http://data.bnf.fr/ark:/12148/cb133308289"
"http://lexvo.org/id/iso639-3/axx","axx","Xârâgurè"
"http://lexvo.org/id/iso639-3/axx","axx","http://lexvo.org/id/iso639-3/axx"
"http://lexvo.org/id/iso639-3/ayl","ayl","Arabic, Libyan (Tripoli)"
